Unnamed: 0,2024-12-31
DilutedAverageShares,655300000.0
BasicAverageShares,650900000.0
DilutedEPS,8.71
BasicEPS,8.76
DilutedNIAvailtoComStockholders,5705000000.0
NetIncomeCommonStockholders,5705000000.0
NetIncome,5705000000.0
MinorityInterests,-35000000.0
NetIncomeIncludingNoncontrollingInterests,5740000000.0
NetIncomeContinuousOperations,5740000000.0
TaxProvision,1473000000.0
PretaxIncome,7213000000.0
OtherIncomeExpense,185000000.0
OtherNonOperatingIncomeExpenses,413000000.0
SpecialIncomeCharges,-237000000.0
GainOnSaleOfBusiness,-1000000.0
OtherSpecialCharges,17000000.0
ImpairmentOfCapitalAssets,219000000.0
RestructuringAndMergernAcquisition,0.0
EarningsFromEquityInterest,65000000.0
GainOnSaleOfSecurity,-56000000.0
NetNonOperatingInterestIncomeExpense,-632000000.0
InterestExpenseNonOperating,1058000000.0
InterestIncomeNonOperating,426000000.0
OperatingIncome,7660000000.0
OperatingExpense,7002000000.0
ResearchAndDevelopment,1536000000.0
SellingGeneralAndAdministration,5466000000.0
GeneralAndAdministrativeExpense,
OtherGandA,
SalariesAndWages,
GrossProfit,14662000000.0
CostOfRevenue,23836000000.0
TotalRevenue,38498000000.0
OperatingRevenue,38498000000.0
